iter	Logloss
0	0.6929193115
1	0.6926868286
2	0.6924474487
3	0.6922103271
4	0.6919786377
5	0.6917932129
6	0.6915446167
7	0.6913358154
8	0.6910742798
9	0.6908807983
10	0.6906390991
11	0.6904578857
12	0.6902198486
13	0.6899476929
14	0.689715271
15	0.6894406738
16	0.6891917725
17	0.6889606934
18	0.688739563
19	0.6885285645
20	0.6883137207
21	0.6880727539
22	0.6878408813
23	0.6876008301
24	0.6873666992
25	0.6871380615
26	0.686942627
27	0.6866916504
28	0.6865112915
29	0.6862341309
30	0.6860304565
31	0.6858546143
32	0.6856340942
33	0.6854354248
34	0.6851907959
35	0.6849676514
36	0.6847844238
37	0.6845488281
38	0.6843109131
39	0.6840663452
40	0.683796936
41	0.6835560303
42	0.683314209
43	0.6830723877
44	0.682869873
45	0.6826553345
46	0.6824160156
47	0.6822022095
48	0.6819306641
49	0.6817043457
50	0.6814772339
51	0.6812793579
52	0.6810786133
53	0.6808939209
54	0.6806674194
55	0.6804344482
56	0.6802322998
57	0.6800120239
58	0.6798156738
59	0.6796234131
60	0.6794000244
61	0.6791639404
62	0.6789158936
63	0.6787336426
64	0.6784991455
65	0.6782559204
66	0.6780137329
67	0.6777615356
68	0.6775558472
69	0.6772977295
70	0.6770838013
71	0.6768494873
72	0.6765897827
73	0.6763773804
74	0.6762049561
75	0.675980835
76	0.6757826538
77	0.6755256348
78	0.6753341064
79	0.6751195679
80	0.6749053345
81	0.6747286377
82	0.6744637451
83	0.6742150879
84	0.6739928589
85	0.673769104
86	0.6735445557
87	0.6733371582
88	0.6731538086
89	0.67290802
90	0.6726576538
91	0.6724373169
92	0.6722442627
93	0.672034668
94	0.6718265991
95	0.6716088867
96	0.6713736572
97	0.6711887207
98	0.6709299927
99	0.6707203369
100	0.6705117798
101	0.670284668
102	0.6700672607
103	0.6698562012
104	0.6696223755
105	0.6694186401
106	0.6692032471
107	0.6689625244
108	0.6687565918
109	0.6685357666
110	0.6683265381
111	0.6681102295
112	0.6679274902
113	0.667706665
114	0.6674649658
115	0.6672242432
116	0.6670036621
117	0.6668446655
118	0.6666390381
119	0.6664116211
120	0.6662302246
121	0.6660220947
122	0.665831665
123	0.6656307983
124	0.6654671631
125	0.6652635498
126	0.6650168457
127	0.6647966309
128	0.6646140137
129	0.6643573608
130	0.6641913452
131	0.6639602661
132	0.6637705078
133	0.6635986938
134	0.6633970337
135	0.6632265625
136	0.663026062
137	0.6628018799
138	0.6626375732
139	0.6624801025
140	0.6622885132
141	0.6620986328
142	0.6619046631
143	0.6617129517
144	0.6615018311
145	0.6612903442
146	0.6610742188
147	0.6608725586
148	0.6606541748
149	0.6604214478
150	0.6602362061
151	0.6599938965
152	0.6597674561
153	0.6595571289
154	0.6593305054
155	0.6591410522
156	0.658956665
157	0.6587697754
158	0.6585768433
159	0.6584139404
160	0.6582028198
161	0.6580090332
162	0.6577948608
163	0.6576273193
164	0.6574101562
165	0.6572109985
166	0.6570682373
167	0.6568529053
168	0.6566289063
169	0.6564083252
170	0.6562150879
171	0.6560405273
172	0.6558770752
173	0.6556757202
174	0.6554890747
175	0.6553126831
176	0.6551410522
177	0.6549783936
178	0.6547720337
179	0.6545979614
180	0.6543926392
181	0.6542161865
182	0.6540462036
183	0.65387854
184	0.6536876221
185	0.653512146
186	0.6533508911
187	0.6531547852
188	0.6529887085
189	0.6528294678
190	0.6526317139
191	0.6524749146
192	0.652256958
193	0.652071167
194	0.6519146729
195	0.6517264404
196	0.6515588379
197	0.6513894043
198	0.6512468872
199	0.6510715332
200	0.6508861084
201	0.6507115479
202	0.6505458984
203	0.6503249512
204	0.6501719971
205	0.650003418
206	0.6498220215
207	0.6496456299
208	0.6494399414
209	0.6492365723
210	0.6490349731
211	0.6488615723
212	0.6486981201
213	0.6485348511
214	0.6483546143
215	0.6481884766
216	0.6479908447
217	0.6478499756
218	0.647649292
219	0.6474680786
220	0.6472935791
221	0.6471240234
222	0.6469067383
223	0.6467172852
224	0.64652948
225	0.6463717651
226	0.64615802
227	0.6459893799
228	0.645829834
229	0.6456469116
230	0.6454706421
231	0.6452980957
232	0.6451240234
233	0.6449414062
234	0.6447314453
235	0.6445487061
236	0.6443737793
237	0.6441955566
238	0.6440192871
239	0.6438671875
240	0.6436517334
241	0.643444458
242	0.6432463379
243	0.6430948486
244	0.6429393311
245	0.6427407837
246	0.6425805664
247	0.6424100342
248	0.6422217407
249	0.6420474243
250	0.6418952637
251	0.6417333374
252	0.641565979
253	0.6414050293
254	0.6412487793
255	0.6410745239
256	0.6409125977
257	0.640715332
258	0.6405197144
259	0.6403256836
260	0.6401569214
261	0.6399770508
262	0.6398148193
263	0.6396323242
264	0.639453125
265	0.6392970581
266	0.6391345215
267	0.6389471436
268	0.6387612305
269	0.6385766602
270	0.6384129639
271	0.6382509766
272	0.6380966187
273	0.6378990479
274	0.6377125854
275	0.6375629883
276	0.6374146729
277	0.6372713623
278	0.6371253662
279	0.6369629517
280	0.6367902832
281	0.6366203613
282	0.6364605713
283	0.636286499
284	0.6361164551
285	0.6359720459
286	0.6358083496
287	0.635611084
288	0.6354416504
289	0.6352559204
290	0.6350948486
291	0.6349301758
292	0.6347546387
293	0.63455896
294	0.6343768311
295	0.634189209
296	0.6339981689
297	0.6338121338
298	0.6336743774
299	0.6335536499
