iter	Passed	Remaining
430	1722	8268
431	1725	8261
432	1729	8254
433	1732	8247
434	1735	8240
435	1739	8236
436	1743	8229
437	1746	8223
438	1750	8216
439	1754	8213
440	1757	8206
441	1761	8199
442	1764	8192
443	1767	8184
444	1771	8181
445	1775	8175
446	1778	8169
447	1781	8161
448	1786	8158
449	1789	8152
450	1792	8145
451	1796	8139
452	1799	8132
453	1804	8130
454	1808	8127
455	1811	8120
456	1814	8113
457	1820	8115
458	1824	8113
459	1828	8110
460	1832	8106
461	1837	8104
462	1841	8102
463	1844	8095
464	1848	8089
465	1852	8087
466	1856	8080
467	1859	8073
468	1862	8066
469	1866	8061
470	1870	8057
471	1874	8054
472	1878	8049
473	1882	8045
474	1886	8040
475	1889	8033
476	1892	8027
477	1896	8020
478	1900	8017
479	1904	8015
480	1908	8009
481	1911	8004
482	1916	8001
483	1919	7994
484	1922	7987
485	1925	7981
486	1929	7974
487	1933	7971
488	1936	7964
489	1940	7958
490	1944	7955
491	1948	7954
492	1952	7947
493	1955	7941
494	1958	7934
495	1962	7927
496	1966	7924
497	1969	7918
498	1972	7911
499	1976	7905
500	1980	7902
501	1983	7895
502	1987	7889
503	1990	7884
504	1994	7877
505	1998	7874
506	2001	7868
507	2004	7862
508	2008	7855
509	2011	7850
510	2016	7847
511	2020	7844
512	2023	7838
513	2027	7832
514	2031	7828
515	2034	7822
516	2037	7816
517	2041	7809
518	2045	7806
519	2048	7800
520	2052	7794
521	2055	7790
522	2059	7783
523	2063	7782
524	2067	7777
525	2070	7771
526	2074	7765
527	2078	7762
528	2081	7756
529	2085	7751
530	2088	7745
531	2092	7739
532	2096	7735
533	2099	7729
534	2102	7723
535	2106	7717
536	2110	7714
537	2114	7712
538	2118	7707
539	2121	7700
540	2125	7698
541	2129	7692
542	2132	7686
543	2135	7679
544	2139	7673
545	2143	7670
546	2146	7664
547	2149	7658
548	2153	7653
549	2157	7648
550	2160	7643
551	2164	7637
552	2167	7631
553	2170	7625
554	2175	7622
555	2178	7616
556	2181	7610
557	2185	7604
558	2188	7598
559	2192	7594
560	2195	7588
561	2198	7582
562	2202	7576
563	2206	7572
564	2210	7569
565	2214	7567
566	2218	7563
567	2222	7560
568	2226	7554
569	2229	7550
570	2233	7544
571	2236	7539
572	2240	7535
573	2243	7529
574	2247	7523
575	2250	7517
576	2254	7513
577	2257	7507
578	2261	7502
579	2264	7497
580	2268	7491
581	2272	7488
582	2275	7482
583	2278	7476
584	2282	7470
585	2285	7466
586	2289	7461
587	2292	7455
588	2296	7450
589	2299	7444
590	2303	7440
591	2306	7434
592	2310	7429
593	2313	7423
594	2316	7417
595	2321	7415
596	2325	7413
597	2329	7407
598	2332	7401
599	2336	7398
600	2340	7395
601	2345	7394
602	2348	7388
603	2352	7385
604	2356	7379
605	2359	7374
606	2362	7368
607	2366	7363
608	2370	7359
609	2373	7353
610	2376	7348
611	2380	7342
612	2384	7339
613	2388	7335
614	2391	7329
615	2394	7323
616	2398	7318
617	2401	7314
618	2405	7310
619	2408	7304
620	2412	7299
621	2416	7296
622	2420	7293
623	2424	7289
624	2428	7284
625	2432	7280
626	2435	7275
627	2438	7269
628	2442	7264
629	2445	7259
630	2449	7255
631	2453	7250
632	2456	7245
633	2459	7239
634	2463	7234
635	2466	7230
636	2470	7224
637	2473	7219
638	2477	7214
639	2481	7210
640	2484	7205
641	2487	7199
642	2490	7193
643	2494	7187
644	2498	7184
645	2501	7179
646	2505	7176
647	2508	7170
648	2512	7166
649	2516	7162
650	2519	7156
651	2523	7151
652	2526	7145
653	2530	7141
654	2534	7138
655	2538	7135
656	2541	7129
657	2545	7125
658	2548	7120
659	2552	7115
660	2555	7110
661	2559	7105
662	2563	7103
663	2567	7098
664	2570	7092
665	2574	7088
666	2578	7086
667	2582	7081
668	2585	7076
669	2588	7070
670	2592	7065
671	2596	7061
672	2599	7056
673	2602	7050
674	2605	7045
675	2609	7040
