iter	RMSE
0	15.155005
1	14.96981044
2	14.78674706
3	14.62831638
4	14.45223623
5	14.28151146
6	14.12331203
7	13.96819002
8	13.83532066
9	13.70008549
10	13.55372342
11	13.41158186
12	13.28472531
13	13.18422544
14	13.04901823
15	12.93868462
16	12.8251277
17	12.71092063
18	12.59869954
19	12.48447857
20	12.37309511
21	12.26356251
22	12.15628285
23	12.05749642
24	11.96629117
25	11.85584733
26	11.75783492
27	11.65891847
28	11.5582024
29	11.46822593
30	11.37782278
31	11.2896654
32	11.21150399
33	11.12186905
34	11.04758802
35	10.96291456
36	10.88418957
37	10.79594602
38	10.72150185
39	10.64560991
40	10.58179479
41	10.51196064
42	10.44224031
43	10.38853391
44	10.3161689
45	10.2564635
46	10.19294023
47	10.13489533
48	10.07829764
49	10.01823167
50	9.960666402
51	9.900353162
52	9.840070149
53	9.789910871
54	9.739334469
55	9.693461671
56	9.652541688
57	9.60336487
58	9.551979421
59	9.503067674
60	9.458692868
61	9.412536605
62	9.364588312
63	9.314772318
64	9.272242568
65	9.235024878
66	9.192730785
67	9.148434611
68	9.110018235
69	9.069787139
70	9.03178797
71	8.990275761
72	8.962406062
73	8.924684591
74	8.897196421
75	8.862213204
76	8.832488125
77	8.801839921
78	8.766427785
79	8.733891345
80	8.700681643
81	8.67458778
82	8.645718539
83	8.619643968
84	8.599632347
85	8.570834239
86	8.537781155
87	8.50998543
88	8.482339148
89	8.452041126
90	8.431652545
91	8.412837089
92	8.392532416
93	8.369239693
94	8.347861692
95	8.323722344
96	8.301390286
97	8.277193798
98	8.254634329
99	8.230066596
100	8.209907316
101	8.188783915
102	8.168937535
103	8.149521163
104	8.132068681
105	8.116689916
106	8.096769866
107	8.080394841
108	8.05568633
109	8.034704352
110	8.019796087
111	8.004761352
112	7.989412783
113	7.974017273
114	7.95953223
115	7.94393495
116	7.928665616
117	7.910770734
118	7.888546838
119	7.873051769
120	7.857027452
121	7.839940688
122	7.822510129
123	7.808224192
124	7.793403387
125	7.775639751
126	7.760164298
127	7.74558655
128	7.732885914
129	7.719029054
130	7.704410267
131	7.693281621
132	7.683632183
133	7.66985974
134	7.65439577
135	7.636644273
136	7.618187832
137	7.60468993
138	7.594560747
139	7.582485525
140	7.566435123
141	7.554017536
142	7.541451832
143	7.530025592
144	7.512100492
145	7.500858449
146	7.489989442
147	7.474649226
148	7.461961834
149	7.447997058
150	7.435357897
151	7.423057941
152	7.413298737
153	7.402448184
154	7.39241767
155	7.383745302
156	7.373848693
157	7.362061012
158	7.34954758
159	7.339704193
160	7.331013089
161	7.323308514
162	7.309037021
163	7.296440617
164	7.290318952
165	7.280153639
166	7.272038094
167	7.260457239
168	7.247900983
169	7.234426736
170	7.228180775
171	7.217869812
172	7.208712222
173	7.19715978
174	7.190274327
175	7.18147341
176	7.171524289
177	7.15981533
178	7.150656441
179	7.142190791
180	7.132967606
181	7.125003216
182	7.117141761
183	7.108216545
184	7.097557897
185	7.08867907
186	7.077828132
187	7.065217855
188	7.060296697
189	7.049525713
190	7.042212387
191	7.033542483
192	7.02628937
193	7.01627698
194	7.007085168
195	6.996505955
196	6.988497207
197	6.980581963
198	6.969983017
199	6.962052001
200	6.9545601
201	6.948235073
202	6.940813319
203	6.933579768
204	6.92860019
205	6.920360968
206	6.909618431
207	6.902853276
208	6.894016494
209	6.887467784
210	6.877049396
211	6.870127951
212	6.862060048
213	6.854150236
214	6.847191064
215	6.841413253
216	6.83543643
217	6.828456521
218	6.821481641
219	6.814358581
220	6.806449625
221	6.798052884
222	6.790162275
223	6.781675645
224	6.774256125
225	6.766800911
226	6.756060419
227	6.749387944
228	6.742895179
229	6.736718572
230	6.729507524
231	6.719371711
232	6.713277129
233	6.708126388
234	6.700947678
235	6.695561213
236	6.686299341
237	6.679317675
238	6.672512186
239	6.66757654
240	6.660559515
241	6.65316322
242	6.64677386
243	6.641533563
244	6.636755509
245	6.632456763
246	6.624754639
247	6.619990388
248	6.611985056
249	6.607497106
250	6.601801016
251	6.595382293
252	6.587692397
253	6.580924157
254	6.574422019
255	6.568298929
256	6.563176176
257	6.559414311
258	6.553719782
259	6.548479061
260	6.542661001
261	6.537197639
262	6.531862474
263	6.523523301
264	6.517879393
265	6.512219011
266	6.507074029
267	6.502671475
268	6.494404826
269	6.490924838
270	6.481828937
271	6.473621881
272	6.468800525
273	6.463968223
274	6.460365801
275	6.453678662
276	6.448135121
277	6.441260424
278	6.434348292
279	6.430588026
280	6.425700285
281	6.421502726
282	6.415288101
283	6.41088617
284	6.405314754
285	6.401101315
286	6.395884552
287	6.390489227
288	6.386461688
289	6.379810204
290	6.374694279
291	6.368482791
292	6.361940604
293	6.352836492
294	6.350030166
295	6.344334401
296	6.339967608
297	6.335298385
298	6.331721775
299	6.327574205
300	6.322855943
301	6.316874457
302	6.310257909
303	6.303090944
304	6.297939893
305	6.29358429
306	6.289599115
307	6.284586584
308	6.281428409
309	6.275233389
310	6.271167022
311	6.266585826
312	6.261974996
313	6.254711231
314	6.251068606
315	6.246765177
316	6.240308086
317	6.235654418
318	6.229188406
319	6.224007388
320	6.217706747
321	6.213259609
322	6.208962689
323	6.20441327
324	6.199081251
325	6.194246195
326	6.190889968
327	6.186064261
328	6.179901748
329	6.175460211
330	6.168573064
331	6.163630194
332	6.158193609
333	6.153053176
334	6.147174941
335	6.141146707
336	6.138552636
337	6.133023618
338	6.127516835
339	6.122573253
340	6.11622098
341	6.113255726
342	6.109418054
343	6.105914658
344	6.101078855
345	6.096659679
346	6.089452396
347	6.084974787
348	6.079745361
349	6.076876297
350	6.070137426
351	6.064135568
352	6.06035473
353	6.056134255
354	6.050789429
355	6.045932877
356	6.039260209
357	6.032998087
358	6.028920378
359	6.023505106
360	6.018612072
361	6.014202785
362	6.007681936
363	6.000234977
364	5.996625777
365	5.994479903
366	5.988558679
367	5.983458562
368	5.978782691
369	5.973625027
370	5.969732952
371	5.965411845
372	5.962256163
373	5.958237867
374	5.955354062
375	5.950978076
376	5.947570777
377	5.942987984
378	5.939565718
379	5.93575948
380	5.931033696
381	5.928147536
382	5.925099492
383	5.922183742
384	5.915707081
385	5.911256879
386	5.906614493
387	5.89981573
388	5.894893066
389	5.891560403
390	5.888309809
391	5.883475461
392	5.878101321
393	5.873719206
394	5.868828861
395	5.864940873
396	5.859037974
397	5.855232636
398	5.85169126
399	5.845471504
400	5.841483899
401	5.837849717
402	5.83373394
403	5.830875076
404	5.825800007
405	5.822936343
406	5.818386872
407	5.814984733
408	5.810877267
409	5.804925501
410	5.800599912
411	5.796851145
412	5.792906316
413	5.788319804
414	5.783954385
415	5.776949437
416	5.774051989
417	5.770222986
418	5.766160154
419	5.761336976
420	5.757702601
421	5.750319496
422	5.746151489
423	5.742085022
424	5.737224262
425	5.733202944
426	5.72822425
427	5.722303526
428	5.716370249
429	5.712686687
430	5.707236425
431	5.703630891
432	5.698947008
433	5.694853586
434	5.691021648
435	5.684228229
436	5.679093
437	5.676213877
438	5.672479391
439	5.666348661
440	5.661918432
441	5.656592597
442	5.652798789
443	5.650178466
444	5.646122518
445	5.64160617
446	5.63765406
447	5.630418655
448	5.627297002
449	5.623542796
450	5.62075201
451	5.61664138
452	5.613530504
453	5.609746612
454	5.605810136
455	5.602314143
456	5.598164237
457	5.593176328
458	5.589405565
459	5.584767548
460	5.579354812
461	5.574662165
462	5.568541132
463	5.563627145
464	5.55639349
465	5.550443819
466	5.548185649
467	5.543354193
468	5.540059594
469	5.535724483
470	5.531212338
471	5.527305725
472	5.524102807
473	5.520543453
474	5.516265375
475	5.513342703
476	5.509944836
477	5.507070702
478	5.503067191
479	5.498746468
480	5.49444097
481	5.489228852
482	5.483967132
483	5.479358298
484	5.47253338
485	5.469534099
486	5.46532194
487	5.460839041
488	5.456983466
489	5.453936365
490	5.448611889
491	5.442964606
492	5.439974094
493	5.435765498
494	5.432489766
495	5.428400294
496	5.425065276
497	5.421798797
498	5.418695312
499	5.415379164
500	5.412408524
501	5.407221309
502	5.4036767
503	5.400448115
504	5.396316342
505	5.389982881
506	5.387147671
507	5.383469142
508	5.379206643
509	5.374640349
510	5.370473572
511	5.366047597
512	5.363011362
513	5.359995488
514	5.355242572
515	5.350412029
516	5.345139709
517	5.342079643
518	5.338740291
519	5.334943748
520	5.33024726
521	5.327548835
522	5.324452035
523	5.319207063
524	5.315277979
525	5.311240556
526	5.308580619
527	5.30431678
528	5.300834279
529	5.296236906
530	5.292525779
531	5.289171962
532	5.285564874
533	5.282261654
534	5.27713943
535	5.273678588
536	5.269844368
537	5.264884756
538	5.260302342
539	5.257676296
540	5.254823665
541	5.252214348
542	5.249026545
543	5.244281834
544	5.241808356
545	5.23750728
546	5.233894701
547	5.230100892
548	5.225548323
549	5.222980795
550	5.21932826
551	5.215054665
552	5.212553344
553	5.208591758
554	5.20625445
555	5.203206841
556	5.199347923
557	5.196898468
558	5.194220179
559	5.190980052
560	5.187128731
561	5.184861406
562	5.181517902
563	5.177466317
564	5.174466038
565	5.171437044
566	5.168675589
567	5.163833244
568	5.161543466
569	5.158419673
570	5.155551694
571	5.152004938
572	5.148814755
573	5.146022867
574	5.14282214
575	5.140121092
576	5.137332928
577	5.134972791
578	5.13120575
579	5.127174384
580	5.123457117
581	5.120809273
582	5.118114874
583	5.115972698
584	5.112397673
585	5.108884511
586	5.105261716
587	5.100982548
588	5.098427863
589	5.096320948
590	5.094904612
591	5.091069982
592	5.088766824
593	5.083614078
594	5.081177623
595	5.078550718
596	5.074617149
597	5.072088645
598	5.069305793
599	5.066563541
600	5.062139354
601	5.059128033
602	5.05708934
603	5.052284649
604	5.049649722
605	5.046506362
606	5.043910305
607	5.041964791
608	5.038380717
609	5.035187694
610	5.032653236
611	5.030030226
612	5.027077665
613	5.025148934
614	5.020868532
615	5.017467733
616	5.014617634
617	5.010782877
618	5.008514603
619	5.005798995
620	5.002890812
621	5.000532628
622	4.997749067
623	4.993624152
624	4.989799037
625	4.98729776
626	4.985713898
627	4.981503077
628	4.97849374
629	4.975859776
630	4.974393956
631	4.970584552
632	4.968876253
633	4.96561492
634	4.963014887
635	4.960625637
636	4.957691726
637	4.955007126
638	4.953692453
639	4.952386986
640	4.951030011
641	4.947759722
642	4.945351363
643	4.941497375
644	4.93872505
645	4.93575238
646	4.933027786
647	4.931432842
648	4.927140197
649	4.92409462
650	4.921263468
651	4.919398194
652	4.916681773
653	4.915112987
654	4.911727538
655	4.907342923
656	4.905418543
657	4.901084795
658	4.899199128
659	4.894028546
660	4.892520473
661	4.889067113
662	4.886834714
663	4.883843982
664	4.881526291
665	4.87837249
666	4.876465417
667	4.873225203
668	4.869463686
669	4.866833134
670	4.86406979
671	4.86110818
672	4.859790931
673	4.856974744
674	4.85252771
675	4.850639787
676	4.849277329
677	4.848652629
678	4.846610165
679	4.842580124
680	4.838820926
681	4.83684462
682	4.834355287
683	4.831102756
684	4.826621784
685	4.825308133
686	4.824016048
687	4.820917439
688	4.818786964
689	4.816234936
690	4.814203497
691	4.811839541
692	4.808253342
693	4.805709713
694	4.802040545
695	4.799805702
696	4.795669218
697	4.793823714
698	4.791911339
699	4.789860157
700	4.787741904
701	4.785413782
702	4.783800204
703	4.782584474
704	4.780058762
705	4.777117488
706	4.775107875
707	4.772959748
708	4.770681377
709	4.76772272
710	4.764704596
711	4.761554142
712	4.759155635
713	4.756797477
714	4.754837942
715	4.752398833
716	4.750117516
717	4.747420041
718	4.745409733
719	4.742926247
720	4.740897243
721	4.739808914
722	4.737403368
723	4.735518265
724	4.730725229
725	4.728702903
726	4.726968994
727	4.723903964
728	4.721325379
729	4.718058688
730	4.715692034
731	4.712468389
732	4.709755602
733	4.706482166
734	4.704336564
735	4.70130992
736	4.698958943
737	4.696463224
738	4.692440807
739	4.68965882
740	4.687008216
741	4.684641423
742	4.682157303
743	4.679829893
744	4.677791847
745	4.675555756
746	4.673451092
747	4.673214825
748	4.671180559
749	4.670120249
750	4.666509503
751	4.664097108
752	4.661820614
753	4.659706942
754	4.65790642
755	4.655610198
756	4.653651437
757	4.653007276
758	4.650799941
759	4.648284098
760	4.646312263
761	4.643731345
762	4.641576998
763	4.640444782
764	4.637809586
765	4.635085135
766	4.632328385
767	4.628800385
768	4.626024104
769	4.623557363
770	4.621041169
771	4.617334917
772	4.615802244
773	4.614390578
774	4.612979074
775	4.610597529
776	4.609033123
777	4.60588573
778	4.604415531
779	4.602963927
780	4.600134931
781	4.5962183
782	4.59366322
783	4.593443142
784	4.590440267
785	4.58805931
786	4.587081589
787	4.586072433
788	4.583401107
789	4.579416009
790	4.576565602
791	4.575551151
792	4.57429881
793	4.572218938
794	4.569924132
795	4.568802069
796	4.566797095
797	4.563723395
798	4.561003412
799	4.557960898
800	4.55629836
801	4.552624471
802	4.551608497
803	4.54999919
804	4.54695296
805	4.544586476
806	4.542535151
807	4.539315933
808	4.539104222
809	4.537388011
810	4.534258015
811	4.532624762
812	4.529816658
813	4.526809904
814	4.52528102
815	4.522425713
816	4.522256634
817	4.520132986
818	4.518591476
819	4.516719053
820	4.514109706
821	4.512171985
822	4.509868085
823	4.507684894
824	4.506759837
825	4.504889931
826	4.502226458
827	4.499911064
828	4.498587538
829	4.496337261
830	4.493381298
831	4.491636262
832	4.488905591
833	4.486836186
834	4.48230915
835	4.480409964
836	4.477026419
837	4.475678758
838	4.473413602
839	4.471199292
840	4.469469681
841	4.466853981
842	4.463754717
843	4.461450485
